timestamp,open,high,low,close,volume,rsi,ema_fast,ema_slow,macd,macd_signal,signal,confidence,executed,rejection_reason,result,pnl,future_close,future_move,candle_size,body_size
1779709920,1.17142,1.17142,1.17139,1.17139,12,68.72869418847698,1.1712749251004282,1.1710728894374438,0.0001606209167941408,0.00012867336355777673,BUY,0.73,True,,WIN,4.6,1.17139,0,2.999999999997449e-05,2.999999999997449e-05
1779709955,1.17125,1.17127,1.17124,1.17127,10,56.3965493423073,1.1713324795244213,1.171214719019217,0.00012070116234386141,0.0001415104121419979,NONE,0.5,False,NO_SIGNAL,,0,1.17127,0,2.999999999997449e-05,2.0000000000131024e-05
1779709960,1.17124,1.17124,1.17119,1.1712,10,52.2195235693348,1.171305983619537,1.171213380926561,0.00010270511272802985,0.00013374319843850843,NONE,0.5,False,NO_SIGNAL,,0,1.1712,0,5.0000000000105516e-05,4.0000000000040004e-05
1779709965,1.17122,1.17138,1.17122,1.17135,10,59.16365496305282,1.1713147868956295,1.1712258008423282,9.902940527628523e-05,0.00012679603651907526,NONE,0.5,False,NO_SIGNAL,,0,1.17135,0,0.00016000000000016001,0.00012999999999996348
1779709970,1.17131,1.17132,1.17127,1.17128,10,55.15565675710049,1.1713078295165036,1.1712307280384802,8.959502396344021e-05,0.00011935205946315505,NONE,0.5,False,NO_SIGNAL,,0,1.17128,0,4.999999999988347e-05,2.999999999997449e-05
1779709975,1.17129,1.1713,1.17122,1.17122,10,51.925177572925016,1.1712902636132028,1.1712297527622546,7.652376801203786e-05,0.00011078292511907732,NONE,0.5,False,NO_SIGNAL,,0,1.17122,0,8.000000000008001e-05,7.00000000000145e-05
1779709980,1.17121,1.17128,1.17119,1.17125,10,53.38772648988102,1.1712822108905623,1.1712315934202315,6.774536184761537e-05,0.00010217261826045661,NONE,0.5,False,NO_SIGNAL,,0,1.17125,0,9.000000000014552e-05,3.999999999981796e-05
1779709985,1.17126,1.17135,1.17125,1.17133,10,57.115306530527896,1.1712917687124498,1.1712405394729377,6.633023869739851e-05,9.500228082181713e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17133,0,9.999999999998899e-05,7.00000000000145e-05
1779709990,1.17133,1.17144,1.17133,1.17135,10,58.01465429010432,1.1713034149699597,1.1712504904299434,6.60247867940722e-05,8.92055780882124e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17135,0,0.0001100000000000545,1.999999999990898e-05
1779709995,1.17134,1.17137,1.17133,1.17137,10,58.93730229755928,1.1713167319759679,1.1712613549363122,6.659461196112382e-05,8.468263335970012e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17137,0,4.0000000000040004e-05,2.999999999997449e-05
1779710000,1.17133,1.17138,1.1713,1.17136,10,58.25153165160769,1.1713253855807744,1.1712703226693748,6.549665058219745e-05,8.084492668548448e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17136,0,8.000000000008001e-05,2.999999999997449e-05
1779710005,1.17136,1.17157,1.17136,1.17157,10,66.91358523514903,1.1713743084646195,1.171297566063068,8.03561620550397e-05,8.074716336341595e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17157,0,0.00021000000000004349,0.00021000000000004349
1779710010,1.17157,1.17172,1.17157,1.17164,10,69.19617044741294,1.1714274467716956,1.1713286964209708,9.657359519765762e-05,8.391271902595766e-05,BUY,0.7,True,,LOSS,-5.0,1.17164,0,0.0001500000000000945,7.00000000000145e-05
1779710045,1.17158,1.17158,1.17153,1.17156,10,60.62910192377717,1.1715304008692158,1.17144429018813,9.648158536190721e-05,0.00010062564923662133,NONE,0.5,False,NO_SIGNAL,,0,1.17156,0,5.0000000000105516e-05,2.0000000000131024e-05
1779710050,1.17156,1.1716,1.17156,1.17158,10,61.579884711386576,1.1715403206953727,1.1714566274437546,9.472437016833091e-05,9.944537657754892e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17158,0,4.0000000000040004e-05,2.0000000000131024e-05
1779710055,1.17157,1.1716,1.17155,1.17159,10,62.07058393834673,1.171550256556298,1.171468752221595,9.305838796191956e-05,9.81679642689529e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17159,0,4.999999999988347e-05,1.999999999990898e-05
1779710060,1.17159,1.17159,1.1715,1.17156,10,59.62290570598184,1.1715522052450384,1.1714770474741771,8.831580207746548e-05,9.619751383180205e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17156,0,8.999999999992347e-05,2.999999999997449e-05
1779710065,1.17156,1.17165,1.1715,1.17151,10,55.70060927135852,1.1715437641960307,1.1714800431583428,7.963121417664532e-05,9.288422968891969e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17151,0,0.0001500000000000945,4.999999999988347e-05
1779710070,1.17152,1.17154,1.17148,1.17148,10,53.44058574969679,1.1715310113568245,1.171480039234857,6.954103473866269e-05,8.821556340581463e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17148,0,5.999999999994898e-05,3.999999999981796e-05
1779710075,1.17146,1.17146,1.17142,1.17142,10,49.165845370936744,1.1715088090854595,1.1714745811225973,5.608438298598806e-05,8.178929726745417e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17142,0,4.0000000000040004e-05,4.0000000000040004e-05
1779710080,1.17142,1.17152,1.1714,1.17152,11,55.51945600776491,1.1715110472683676,1.171478710111452,5.2836993460481096e-05,7.599881484129272e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17152,0,0.00011999999999989797,9.999999999998899e-05
1779710085,1.17155,1.17164,1.17155,1.17162,12,60.77258328659157,1.171532837814694,1.1714915546467746,5.762795502950446e-05,7.232463188153468e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17162,0,8.999999999992347e-05,7.00000000000145e-05
1779710090,1.17162,1.17165,1.17162,1.17162,11,60.77258328659157,1.1715502702517553,1.1715032314970677,6.072410959490071e-05,7.000452186864811e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17162,0,2.999999999997449e-05,0.0
1779710095,1.17162,1.17165,1.17152,1.17152,12,53.51709255593321,1.1715442162014043,1.171504755906425,5.451395010402926e-05,6.690640158090494e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17152,0,0.00013000000000018552,0.00010000000000021103
1779710100,1.17152,1.17154,1.17146,1.17147,12,50.300022619625906,1.1715293729611234,1.1715015962785682,4.5054158460455795e-05,6.253594625911181e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17147,0,8.000000000008001e-05,4.999999999988347e-05
1779710105,1.17147,1.17153,1.17142,1.17152,11,53.30734367991568,1.1715274983688986,1.171503269344153,4.110333123863441e-05,5.824941799974798e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17152,0,0.0001100000000000545,4.999999999988347e-05
1779710110,1.17152,1.17155,1.17146,1.17148,12,50.67886939521564,1.171517998695119,1.17150115394923,3.435930897577322e-05,5.347139150867828e-05,NONE,0.5,False,NO_SIGNAL,,0,1.17148,0,9.000000000014552e-05,3.999999999981796e-05
